epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,214.114,0.76588,1.91783,0.91105,1.13315,0.93482,0.37752,0.48748,0.29955,0.81986,0.41268,0.42533,0.26892,1.63614,2.70097,2.00363,1.38258,2.93869e-05,2.93869e-05,2.93869e-05
45,218.44,0.58131,1.59431,0.94582,0.97519,0.93688,0.38208,0.48734,0.316,0.8179,0.41198,0.42438,0.26881,1.63089,2.70601,2.05134,1.38637,2.9552e-05,2.9552e-05,2.9552e-05
46,222.59,0.76461,1.74263,1.42578,1.17612,0.93688,0.38208,0.48734,0.316,0.8179,0.41198,0.42438,0.26881,1.63089,2.70601,2.05134,1.38637,2.96935e-05,2.96935e-05,2.96935e-05
47,227.529,0.74586,1.72903,0.94863,1.08282,0.93212,0.38317,0.47287,0.30263,0.81,0.40703,0.41277,0.25623,1.61484,2.71189,2.06883,1.38254,2.98114e-05,2.98114e-05,2.98114e-05
48,232.014,0.62217,1.90828,0.91808,1.02883,0.93212,0.38317,0.47287,0.30263,0.81,0.40703,0.41277,0.25623,1.61484,2.71189,2.06883,1.38254,2.99058e-05,2.99058e-05,2.99058e-05
49,236.309,0.84469,1.70129,0.84017,1.10891,0.9317,0.37565,0.45872,0.2903,0.80319,0.40368,0.39174,0.24303,1.62117,2.7243,2.08221,1.38798,2.99766e-05,2.99766e-05,2.99766e-05
50,240.389,0.86569,1.94623,1.02933,1.21247,0.9317,0.37565,0.45872,0.2903,0.80319,0.40368,0.39174,0.24303,1.62117,2.7243,2.08221,1.38798,3.00238e-05,3.00238e-05,3.00238e-05
51,244.877,0.62777,1.97082,0.86604,1.03259,0.92978,0.36943,0.45041,0.28174,0.7994,0.40333,0.3898,0.23453,1.62739,2.72733,2.11956,1.38969,3.00475e-05,3.00475e-05,3.00475e-05
52,250.094,0.81454,1.51855,1.1381,1.1984,0.92978,0.36943,0.45041,0.28174,0.7994,0.40333,0.3898,0.23453,1.62739,2.72733,2.11956,1.38969,3.00476e-05,3.00476e-05,3.00476e-05
53,254.536,0.58748,1.64312,0.75141,1.05506,0.92978,0.36943,0.45041,0.28174,0.7994,0.40333,0.3898,0.23453,1.62739,2.72733,2.11956,1.38969,3.00242e-05,3.00242e-05,3.00242e-05
54,259.093,0.6181,1.55319,0.80871,1.02892,0.92405,0.37622,0.42836,0.27009,0.81014,0.38333,0.36764,0.21172,1.64245,2.72746,2.14755,1.39219,2.99772e-05,2.99772e-05,2.99772e-05
55,263.297,0.58795,1.82945,0.74533,0.9447,0.92405,0.37622,0.42836,0.27009,0.81014,0.38333,0.36764,0.21172,1.64245,2.72746,2.14755,1.39219,2.99066e-05,2.99066e-05,2.99066e-05
56,267.384,0.64829,1.46034,1.01033,0.99789,0.92405,0.37622,0.42836,0.27009,0.81014,0.38333,0.36764,0.21172,1.64245,2.72746,2.14755,1.39219,2.98125e-05,2.98125e-05,2.98125e-05
57,271.418,0.56631,1.45308,0.65869,0.95374,0.92419,0.36594,0.42749,0.27193,0.81674,0.38333,0.35973,0.22734,1.63608,2.73993,2.19177,1.39054,2.96948e-05,2.96948e-05,2.96948e-05
58,275.409,0.62298,1.65539,0.76382,1.05386,0.92419,0.36594,0.42749,0.27193,0.81674,0.38333,0.35973,0.22734,1.63608,2.73993,2.19177,1.39054,2.95535e-05,2.95535e-05,2.95535e-05
59,279.704,0.84213,1.53137,0.86023,1.20199,0.92419,0.36594,0.42749,0.27193,0.81674,0.38333,0.35973,0.22734,1.63608,2.73993,2.19177,1.39054,2.93887e-05,2.93887e-05,2.93887e-05
60,284.146,0.64534,1.71172,0.93621,1.08854,0.92922,0.3651,0.42738,0.27186,0.82297,0.37715,0.36374,0.23408,1.64897,2.74762,2.20939,1.38807,2.92003e-05,2.92003e-05,2.92003e-05
